Level,NACE,Description,CPRS Main,CPRS2,CPRS Granular,Note on CPRS,IAM,NGFS3,NOTESOnMapping
3,G.47.5,Retail sale of other household equipment in specialised stores,9-other,9-other,other,,,,
4,G.47.51,Retail sale of textiles in specialised stores,9-other,9-other,other,,,,
4,G.47.52,"Retail sale of hardware, paints and glass in specialised stores",9-other,9-other,other,,,,
4,G.47.53,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores",9-other,9-other,other,,,,
4,G.47.54,Retail sale of electrical household appliances in specialised stores,9-other,9-other,other,,,,
4,G.47.59,"Retail sale of furniture, lighting equipment and other household articles in specialised stores",9-other,9-other,other,,,,
3,G.47.6,Retail sale of cultural and recreation goods in specialised stores,9-other,9-other,other,,,,
4,G.47.61,Retail sale of books in specialised stores,9-other,9-other,other,,,,
4,G.47.62,Retail sale of newspapers and stationery in specialised stores,9-other,9-other,other,,,,
4,G.47.63,Retail sale of music and video recordings in specialised stores,9-other,9-other,other,,,,
4,G.47.64,Retail sale of sporting equipment in specialised stores,9-other,9-other,other,,,,
4,G.47.65,Retail sale of games and toys in specialised stores,9-other,9-other,other,,,,
3,G.47.7,Retail sale of other goods in specialised stores,9-other,9-other,other,,,,
4,G.47.71,Retail sale of clothing in specialised stores,9-other,9-other,other,,,,
4,G.47.72,Retail sale of footwear and leather goods in specialised stores,9-other,9-other,other,,,,
4,G.47.73,Dispensing chemist in specialised stores,9-other,9-other,other,,,,
4,G.47.74,Retail sale of medical and orthopaedic goods in specialised stores,9-other,9-other,other,,,,
4,G.47.75,Retail sale of cosmetic and toilet articles in specialised stores,9-other,9-other,other,,,,
4,G.47.76,"Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",9-other,9-other,other,,,,
4,G.47.77,Retail sale of watches and jewellery in specialised stores,9-other,9-other,other,,,,
4,G.47.78,Other retail sale of new goods in specialised stores,9-other,9-other,other,,,,
4,G.47.79,Retail sale of second-hand goods in stores,9-other,9-other,other,,,,
3,G.47.8,Retail sale via stalls and markets,9-other,9-other,other,,,,
4,G.47.81,"Retail sale via stalls and markets of food, beverages and tobacco products",9-other,9-other,other,,,,
4,G.47.82,"Retail sale via stalls and markets of textiles, clothing and footwear",9-other,9-other,other,,,,
4,G.47.89,Retail sale via stalls and markets of other goods,9-other,9-other,other,,,,
3,G.47.9,"Retail trade not in stores, stalls or markets",9-other,9-other,other,,,,
4,G.47.91,Retail sale via mail order houses or via Internet,9-other,9-other,other,,,,
4,G.47.99,"Other retail sale not in stores, stalls or markets",9-other,9-other,other,,,,"Other retail sale not in stores, stalls or markets : best to remove mapping."
1,H,TRANSPORTATION AND STORAGE,5-transportation,5-transportation,transportation,,,,
2,H.49,Land transport and transport via pipelines,5-transportation,5-transportation,transportation,,,,This is 2 digit code that includes transport of passengers and pipelines. Maybe best to remove the mapping.
3,H.49.1,"Passenger rail transport, interurban",5-transportation,5-transportation|railways,transportation|rail|infrastructure,,Final energy|Transportation|Electricity,Energy Service|Transportation|Passenger|Railways,
4,H.49.10,"Passenger rail transport, interurban",5-transportation,5-transportation|railways,transportation|rail|infrastructure|electric,,Final energy|Transportation|Electricity,Final energy|Transportation|Electricity,
4,H.49.10,"Passenger rail transport, interurban",5-transportation,5-transportation|railways,transportation|rail|infrastructure|combustion,,Final Energy|Transportation|Liquids,Final Energy|Transportation|Liquids,
3,H.49.2,Freight rail transport,5-transportation,5-transportation|railways,transportation|rail|infrastructure,,Final energy|Transportation|Electricity,Energy Service|Transportation|Freight|Railways,
4,H.49.20,Freight rail transport,5-transportation,5-transportation|railways,transportation|rail|infrastructure|electric,,Final energy|Transportation|Electricity,Final energy|Transportation|Electricity,
4,H.49.20,Freight rail transport,5-transportation,5-transportation|railways,transportation|rail|infrastructure|combustion,,Final Energy|Transportation|Liquids,Final Energy|Transportation|Liquids,
3,H.49.3,Other passenger land transport,5-transportation,5-transportation,transportation|land|infrastructure,,Final Energy|Transportation,Energy Service|Transportation|Passenger,
4,H.49.31,Urban and suburban passenger land transport,5-transportation,5-transportation,transportation|land|infrastructure,,Final Energy|Transportation,Energy Service|Transportation|Passenger|Road|Bus,
4,H.49.32,Taxi operation,5-transportation,5-transportation|roads,transportation|road|infrastructure,,Final Energy|Transportation,Energy Service|Transportation|Passenger,
4,H.49.39,Other passenger land transport n.e.c.,5-transportation,5-transportation|roads,transportation|road|infrastructure,,Final Energy|Transportation,Energy Service|Transportation|Passenger,
3,H.49.4,Freight transport by road and removal services,5-transportation,5-transportation|roads,transportation|road|infrastructure,,Final Energy|Transportation,Energy Service|Transportation|Freight|Road,
4,H.49.41,Freight transport by road,5-transportation,5-transportation|roads,transportation|road|infrastructure,,Final Energy|Transportation,Energy Service|Transportation|Freight|Road,
4,H.49.42,Removal services,5-transportation,5-transportation,transportation|road|infrastructure,,,,
3,H.49.5,Transport via pipeline,1-fossil-fuel,1-fossil,fuel|fossil|gas,,Primary Energy|Gas + Primary Energy|Oil,Primary Energy|Gas,"There are actually two IAM relevant variables variables: Primary Energy|Gas, Primary Energy|Oil. The output of the two should be summed up."
4,H.49.50,Transport via pipeline,1-fossil-fuel,1-fossil,fuel|fossil|gas,,Primary Energy|Gas + Primary Energy|Oil,Primary Energy|Gas,"There are actually two IAM relevant variables variables: Primary Energy|Gas, Primary Energy|Oil. The output of the two should be summed up."
2,H.50,Water transport,5-transportation,5-transportation|water,transportation|water|infrastructure,,Final energy|Transportation|Liquids,Energy Service|Transportation|Freight|International Shipping,
3,H.50.1,Sea and coastal passenger water transport,5-transportation,5-transportation|water,transportation|water|infrastructure,,Final energy|Transportation|Liquids,Energy Service|Transportation|Freight|International Shipping,
4,H.50.10,Sea and coastal passenger water transport,5-transportation,5-transportation|water,transportation|water|infrastructure,,Final energy|Transportation|Liquids,Energy Service|Transportation|Freight|International Shipping,
3,H.50.2,Sea and coastal freight water transport,5-transportation,5-transportation|water,transportation|water|infrastructure,,Final energy|Transportation|Liquids,Energy Service|Transportation|Freight|International Shipping,
4,H.50.20,Sea and coastal freight water transport,5-transportation,5-transportation|water,transportation|water|infrastructure,,Final energy|Transportation|Liquids,Energy Service|Transportation|Freight|International Shipping,
4,H.50.20,Sea and coastal freight water transport,5-transportation,5-transportation|water,transportation|water|infrastructure|fossil shipping,,Final energy|Transportation|Liquids,Primary Energy|Fossil,
3,H.50.3,Inland passenger water transport,5-transportation,5-transportation|water,transportation|water|infrastructure,,Final energy|Transportation|Liquids,Energy Service|Transportation|Freight|International Shipping,
4,H.50.30,Inland passenger water transport,5-transportation,5-transportation|water,transportation|water|infrastructure,,Final energy|Transportation|Liquids,Energy Service|Transportation|Freight|International Shipping,
3,H.50.4,Inland freight water transport,5-transportation,5-transportation|water,transportation|water|infrastructure,,Final energy|Transportation|Liquids,Energy Service|Transportation|Freight|International Shipping,
4,H.50.40,Inland freight water transport,5-transportation,5-transportation|water,transportation|water|infrastructure,,Final energy|Transportation|Liquids,Energy Service|Transportation|Freight|International Shipping,
2,H.51,Air transport,5-transportation,5-transportation|air,transportation|infrastructure|air,,Final energy|Transportation|Liquids,Energy Service|Transportation|Aviation,
3,H.51.1,Passenger air transport,5-transportation,5-transportation|air,transportation|air|infrastructure,,Final energy|Transportation|Liquids,Energy Service|Transportation|Passenger|Aviation,
4,H.51.10,Passenger air transport,5-transportation,5-transportation|air,transportation|air|infrastructure,,Final energy|Transportation|Liquids,Energy Service|Transportation|Passenger|Aviation,
3,H.51.2,Freight air transport and space transport,5-transportation,5-transportation|air,transportation|air|infrastructure,,Final energy|Transportation|Liquids,Energy Service|Transportation|Aviation,
4,H.51.21,Freight air transport,5-transportation,5-transportation|air,transportation|air|infrastructure,,Final energy|Transportation|Liquids,Energy Service|Transportation|Aviation,
4,H.51.22,Space transport,5-transportation,5-transportation|space,transportation|infrastructure,,Final energy|Transportation|Gases,,
2,H.52,Warehousing and support activities for transportation,5-transportation,5-transportation,transportation,,,,
3,H.52.1,Warehousing and storage,9-other,9-other,other,,,,
4,H.52.10,Warehousing and storage,9-other,9-other,other,,,,
3,H.52.2,Support activities for transportation,5-transportation,5-transportation,transportation|infrastructure,,,,
4,H.52.21,Service activities incidental to land transportation,5-transportation,5-transportation,transportation|infrastructure,,,,
4,H.52.22,Service activities incidental to water transportation,5-transportation,5-transportation,transportation|infrastructure,,,,
4,H.52.23,Service activities incidental to air transportation,5-transportation,5-transportation,transportation|infrastructure,,,,
4,H.52.24,Cargo handling,5-transportation,5-transportation,transportation|infrastructure,,,,
4,H.52.29,Other transportation support activities,5-transportation,5-transportation,transportation|infrastructure,,,,
2,H.53,Postal and courier activities,5-transportation,5-transportation,transportation|infrastructure,,,,
3,H.53.1,Postal activities under universal service obligation,5-transportation,5-transportation,transportation|infrastructure,,,,
4,H.53.10,Postal activities under universal service obligation,5-transportation,5-transportation,transportation|infrastructure,,,,
3,H.53.2,Other postal and courier activities,5-transportation,5-transportation,transportation|infrastructure,,,,
4,H.53.20,Other postal and courier activities,5-transportation,5-transportation,transportation|infrastructure,,,,
1,I,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,n.a.,,,,
2,I.55,Accommodation,4-buildings,4-buildings,buildings,,Final Energy|Residential and Commercial,Energy Service|Residential and Commercial|Floor Space,
3,I.55.1,Hotels and similar accommodation,4-buildings,4-buildings,buildings,,Final Energy|Residential and Commercial,Energy Service|Residential and Commercial|Floor Space,
4,I.55.10,Hotels and similar accommodation,4-buildings,4-buildings,buildings,,Final Energy|Residential and Commercial,Energy Service|Residential and Commercial|Floor Space,
3,I.55.2,Holiday and other short-stay accommodation,4-buildings,4-buildings,buildings,,Final Energy|Residential and Commercial,Energy Service|Residential and Commercial|Floor Space,
4,I.55.20,Holiday and other short-stay accommodation,4-buildings,4-buildings,buildings,,Final Energy|Residential and Commercial,Energy Service|Residential and Commercial|Floor Space,
3,I.55.3,"Camping grounds, recreational vehicle parks and trailer parks",9-other,9-other,other,,,,
4,I.55.30,"Camping grounds, recreational vehicle parks and trailer parks",9-other,9-other,other,,,,
3,I.55.9,Other accommodation,9-other,9-other,other,,,,
4,I.55.90,Other accommodation,9-other,9-other,other,,,,
2,I.56,Food and beverage service activities,9-other,9-other,other,,,,
3,I.56.1,Restaurants and mobile food service activities,9-other,9-other,other,,,,
4,I.56.10,Restaurants and mobile food service activities,9-other,9-other,other,,,,
3,I.56.2,Event catering and other food service activities,9-other,9-other,other,,,,
4,I.56.21,Event catering activities,9-other,9-other,other,,,,
4,I.56.29,Other food service activities,9-other,9-other,other,,,,
3,I.56.3,Beverage serving activities,9-other,9-other,other,,,,
4,I.56.30,Beverage serving activities,9-other,9-other,other,,,,
1,J,INFORMATION AND COMMUNICATION,,,n.a.,,,,
2,J.58,Publishing activities,9-other,9-other,other,,,,
3,J.58.1,"Publishing of books, periodicals and other publishing activities",9-other,9-other,other,,,,
4,J.58.11,Book publishing,9-other,9-other,other,,,,
4,J.58.12,Publishing of directories and mailing lists,9-other,9-other,other,,,,
4,J.58.13,Publishing of newspapers,9-other,9-other,other,,,,
4,J.58.14,Publishing of journals and periodicals,9-other,9-other,other,,,,
4,J.58.19,Other publishing activities,9-other,9-other,other,,,,
3,J.58.2,Software publishing,9-other,9-other,other,,,,
4,J.58.21,Publishing of computer games,9-other,9-other,other,,,,
4,J.58.29,Other software publishing,9-other,9-other,other,,,,
2,J.59,"Motion picture, video and television programme production, sound recording and music publishing activities",9-other,9-other,other,,,,
3,J.59.1,"Motion picture, video and television programme activities",9-other,9-other,other,,,,
4,J.59.11,"Motion picture, video and television programme production activities",9-other,9-other,other,,,,
4,J.59.12,"Motion picture, video and television programme post-production activities",9-other,9-other,other,,,,
4,J.59.13,"Motion picture, video and television programme distribution activities",9-other,9-other,other,,,,
4,J.59.14,Motion picture projection activities,9-other,9-other,other,,,,
3,J.59.2,Sound recording and music publishing activities,9-other,9-other,other,,,,
4,J.59.20,Sound recording and music publishing activities,9-other,9-other,other,,,,
2,J.60,Programming and broadcasting activities,9-other,9-other,other,,,,
3,J.60.1,Radio broadcasting,9-other,9-other,other,,,,
4,J.60.10,Radio broadcasting,9-other,9-other,other,,,,
3,J.60.2,Television programming and broadcasting activities,9-other,9-other,other,,,,
4,J.60.20,Television programming and broadcasting activities,9-other,9-other,other,,,,
2,J.61,Telecommunications,9-other,9-other,other,,,,
3,J.61.1,Wired telecommunications activities,9-other,9-other,other,,,,
4,J.61.10,Wired telecommunications activities,9-other,9-other,other,,,,
3,J.61.2,Wireless telecommunications activities,9-other,9-other,other,,,,
4,J.61.20,Wireless telecommunications activities,9-other,9-other,other,,,,
3,J.61.3,Satellite telecommunications activities,9-other,9-other,other,,,,
4,J.61.30,Satellite telecommunications activities,9-other,9-other,other,,,,
3,J.61.9,Other telecommunications activities,9-other,9-other,other,,,,
4,J.61.90,Other telecommunications activities,9-other,9-other,other,,,,
2,J.62,"Computer programming, consultancy and related activities",9-other,9-other,other,,,,
3,J.62.0,"Computer programming, consultancy and related activities",9-other,9-other,other,,,,
4,J.62.01,Computer programming activities,9-other,9-other,other,,,,
4,J.62.02,Computer consultancy activities,9-other,9-other,other,,,,
4,J.62.03,Computer facilities management activities,9-other,9-other,other,,,,
4,J.62.09,Other information technology and computer service activities,9-other,9-other,other,,,,
2,J.63,Information service activities,9-other,9-other,other,,,,
3,J.63.1,"Data processing, hosting and related activities; web portals",9-other,9-other,other,,,,
4,J.63.11,"Data processing, hosting and related activities",9-other,9-other,other,,,,
4,J.63.12,Web portals,9-other,9-other,other,,,,
3,J.63.9,Other information service activities,9-other,9-other,other,,,,
4,J.63.91,News agency activities,9-other,9-other,other,,,,
4,J.63.99,Other information service activities n.e.c.,9-other,9-other,other,,,,
1,K,FINANCIAL AND INSURANCE ACTIVITIES,7-finance,7-finance,n.a.,,,,
2,K.64,"Financial service activities, except insurance and pension funding",7-finance,7-finance,finance,,,,
3,K.64.1,Monetary intermediation,7-finance,7-finance,finance,,,,
4,K.64.11,Central banking,7-finance,7-finance,finance,,,,
4,K.64.19,Other monetary intermediation,7-finance,7-finance,finance,,,,
3,K.64.2,Activities of holding companies,7-finance,7-finance,finance,,,,
4,K.64.20,Activities of holding companies,7-finance,7-finance,finance,,,,
3,K.64.3,"Trusts, funds and similar financial entities",7-finance,7-finance,finance,,,,
4,K.64.30,"Trusts, funds and similar financial entities",7-finance,7-finance,finance,,,,
3,K.64.9,"Other financial service activities, except insurance and pension funding",7-finance,7-finance,finance,,,,
4,K.64.91,Financial leasing,7-finance,7-finance,finance,,,,
4,K.64.92,Other credit granting,7-finance,7-finance,finance,,,,
4,K.64.99,"Other financial service activities, except insurance and pension funding n.e.c.",7-finance,7-finance,finance,,,,
2,K.65,"Insurance, reinsurance and pension funding, except compulsory social security",7-finance,7-finance,finance,,,,
3,K.65.1,Insurance,7-finance,7-finance,finance,,,,
4,K.65.11,Life insurance,7-finance,7-finance,finance,,,,
4,K.65.12,Non-life insurance,7-finance,7-finance,finance,,,,
3,K.65.2,Reinsurance,7-finance,7-finance,finance,,,,
4,K.65.20,Reinsurance,7-finance,7-finance,finance,,,,
3,K.65.3,Pension funding,7-finance,7-finance,finance,,,,
4,K.65.30,Pension funding,7-finance,7-finance,finance,,,,
2,K.66,Activities auxiliary to financial services and insurance activities,7-finance,7-finance,finance,,,,
3,K.66.1,"Activities auxiliary to financial services, except insurance and pension funding",7-finance,7-finance,finance,,,,
4,K.66.11,Administration of financial markets,7-finance,7-finance,finance,,,,
4,K.66.12,Security and commodity contracts brokerage,7-finance,7-finance,finance,,,,
4,K.66.19,"Other activities auxiliary to financial services, except insurance and pension funding",7-finance,7-finance,finance,,,,
3,K.66.2,Activities auxiliary to insurance and pension funding,7-finance,7-finance,finance,,,,
4,K.66.21,Risk and damage evaluation,7-finance,7-finance,finance,,,,
4,K.66.22,Activities of insurance agents and brokers,7-finance,7-finance,finance,,,,
4,K.66.29,Other activities auxiliary to insurance and pension funding,7-finance,7-finance,finance,,,,
3,K.66.3,Fund management activities,7-finance,7-finance,finance,,,,
4,K.66.30,Fund management activities,7-finance,7-finance,finance,,,,
1,L,REAL ESTATE ACTIVITIES,,,n.a.,,,,
2,L.68,Real estate activities,4-buildings,4-buildings,buildings,,,,
3,L.68.1,Buying and selling of own real estate,4-buildings,4-buildings,buildings,,,,
4,L.68.10,Buying and selling of own real estate,4-buildings,4-buildings,buildings,,,,
3,L.68.2,Rental and operating of own or leased real estate,4-buildings,4-buildings,buildings,,,,
4,L.68.20,Rental and operating of own or leased real estate,4-buildings,4-buildings,buildings,,,,
3,L.68.3,Real estate activities on a fee or contract basis,4-buildings,4-buildings,buildings,,,,
4,L.68.31,Real estate agencies,4-buildings,4-buildings,buildings,,,,
4,L.68.32,Management of real estate on a fee or contract basis,4-buildings,4-buildings,buildings,,,,
1,M,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,n.a.,,,,
2,M.69,Legal and accounting activities,9-other,9-other,other,,,,
3,M.69.1,Legal activities,9-other,9-other,other,,,,
4,M.69.10,Legal activities,9-other,9-other,other,,,,
3,M.69.2,"Accounting, bookkeeping and auditing activities; tax consultancy",7-finance,7-finance,finance,,,,
4,M.69.20,"Accounting, bookkeeping and auditing activities; tax consultancy",7-finance,7-finance,finance,,,,
2,M.70,Activities of head offices; management consultancy activities,9-other,9-other,other,,,,
3,M.70.1,Activities of head offices,9-other,9-other,other,,,,
4,M.70.10,Activities of head offices,9-other,9-other,other,,,,
3,M.70.2,Management consultancy activities,9-other,9-other,other,,,,
4,M.70.21,Public relations and communication activities,9-other,9-other,other,,,,
4,M.70.22,Business and other management consultancy activities,9-other,9-other,other,,,,
2,M.71,Architectural and engineering activities; technical testing and analysis,9-other,9-other,buildings,,,,
3,M.71.1,Architectural and engineering activities and related technical consultancy,4-buildings,4-buildings,buildings,,,,
4,M.71.11,Architectural activities,4-buildings,4-buildings,buildings,,,,
4,M.71.12,Engineering activities and related technical consultancy,9-other,9-other,other,,,,
3,M.71.2,Technical testing and analysis,9-other,9-other,other,,,,
4,M.71.20,Technical testing and analysis,9-other,9-other,other,,,,
2,M.72,Scientific research and development,8-scientific R&D,8-scientific R&D,scientific R&D,,,,
3,M.72.1,Research and experimental development on natural sciences and engineering,8-scientific R&D,8-scientific R&D,scientific R&D,,,,
4,M.72.11,Research and experimental development on biotechnology,9-other,9-other,other,,,,
4,M.72.19,Other research and experimental development on natural sciences and engineering,8-scientific R&D,8-scientific R&D,scientific R&D,,,,
3,M.72.2,Research and experimental development on social sciences and humanities,8-scientific R&D,8-scientific R&D,scientific R&D,,,,
4,M.72.20,Research and experimental development on social sciences and humanities,8-scientific R&D,8-scientific R&D,scientific R&D,,,,
2,M.73,Advertising and market research,9-other,9-other,other,,,,
3,M.73.1,Advertising,9-other,9-other,other,,,,
4,M.73.11,Advertising agencies,9-other,9-other,other,,,,
4,M.73.12,Media representation,9-other,9-other,other,,,,
3,M.73.2,Market research and public opinion polling,9-other,9-other,other,,,,
4,M.73.20,Market research and public opinion polling,9-other,9-other,other,,,,
2,M.74,"Other professional, scientific and technical activities",9-other,9-other,other,,,,
3,M.74.1,Specialised design activities,9-other,9-other,other,,,,
4,M.74.10,Specialised design activities,9-other,9-other,other,,,,
3,M.74.2,Photographic activities,9-other,9-other,other,,,,
4,M.74.20,Photographic activities,9-other,9-other,other,,,,
3,M.74.3,Translation and interpretation activities,9-other,9-other,other,,,,
4,M.74.30,Translation and interpretation activities,9-other,9-other,other,,,,
3,M.74.9,"Other professional, scientific and technical activities n.e.c.",9-other,9-other,other,,,,
4,M.74.90,"Other professional, scientific and technical activities n.e.c.",9-other,9-other,other,,,,
2,M.75,Veterinary activities,9-other,9-other,other,,,,
3,M.75.0,Veterinary activities,9-other,9-other,other,,,,
4,M.75.00,Veterinary activities,9-other,9-other,other,,,,
1,N,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,,,n.a.,,,,
2,N.77,Rental and leasing activities,9-other,9-other,other,,,,
3,N.77.1,Rental and leasing of motor vehicles,5-transportation,5-transportation|roads,transportation|road|vehicles,,,,
4,N.77.11,Rental and leasing of cars and light motor vehicles,5-transportation,5-transportation|roads,transportation|road|vehicles,,,,
4,N.77.12,Rental and leasing of trucks,5-transportation,5-transportation|roads,transportation|road|vehicles,,,,
3,N.77.2,Rental and leasing of personal and household goods,9-other,9-other,other,,,,
4,N.77.21,Rental and leasing of recreational and sports goods,9-other,9-other,other,,,,
4,N.77.22,Rental of video tapes and disks,9-other,9-other,other,,,,
4,N.77.29,Rental and leasing of other personal and household goods,9-other,9-other,other,,,,
3,N.77.3,"Rental and leasing of other machinery, equipment and tangible goods",9-other,9-other,other,,,,
4,N.77.31,Rental and leasing of agricultural machinery and equipment,9-other,9-other,other,,,,
4,N.77.32,Rental and leasing of construction and civil engineering machinery and equipment,9-other,9-other,other,,,,
4,N.77.33,Rental and leasing of office machinery and equipment (including computers),9-other,9-other,other,,,,
4,N.77.34,Rental and leasing of water transport equipment,9-other,9-other,other,,,,
4,N.77.35,Rental and leasing of air transport equipment,5-transportation,5-transportation|air,transportation|air|vehicles,,,,
4,N.77.39,"Rental and leasing of other machinery, equipment and tangible goods n.e.c.",9-other,9-other,other,,,,
3,N.77.4,"Leasing of intellectual property and similar products, except copyrighted works",9-other,9-other,other,,,,
4,N.77.40,"Leasing of intellectual property and similar products, except copyrighted works",9-other,9-other,other,,,,
2,N.78,Employment activities,9-other,9-other,other,,,,
3,N.78.1,Activities of employment placement agencies,9-other,9-other,other,,,,
4,N.78.10,Activities of employment placement agencies,9-other,9-other,other,,,,
3,N.78.2,Temporary employment agency activities,9-other,9-other,other,,,,
4,N.78.20,Temporary employment agency activities,9-other,9-other,other,,,,
3,N.78.3,Other human resources provision,9-other,9-other,other,,,,
4,N.78.30,Other human resources provision,9-other,9-other,other,,,,
2,N.79,"Travel agency, tour operator and other reservation service and related activities",9-other,9-other,other,,,,
3,N.79.1,Travel agency and tour operator activities,9-other,9-other,other,,,,
4,N.79.11,Travel agency activities,9-other,9-other,other,,,,
4,N.79.12,Tour operator activities,9-other,9-other,other,,,,
3,N.79.9,Other reservation service and related activities,9-other,9-other,other,,,,
4,N.79.90,Other reservation service and related activities,9-other,9-other,other,,,,
2,N.80,Security and investigation activities,9-other,9-other,other,,,,
3,N.80.1,Private security activities,9-other,9-other,other,,,,
4,N.80.10,Private security activities,9-other,9-other,other,,,,
3,N.80.2,Security systems service activities,9-other,9-other,other,,,,
4,N.80.20,Security systems service activities,9-other,9-other,other,,,,
3,N.80.3,Investigation activities,9-other,9-other,other,,,,
4,N.80.30,Investigation activities,9-other,9-other,other,,,,
2,N.81,Services to buildings and landscape activities,9-other,9-other,other,,,,
3,N.81.1,Combined facilities support activities,9-other,9-other,other,,,,
4,N.81.10,Combined facilities support activities,9-other,9-other,other,,,,
3,N.81.2,Cleaning activities,9-other,9-other,other,,,,
4,N.81.21,General cleaning of buildings,9-other,9-other,other,,,,
4,N.81.22,Other building and industrial cleaning activities,9-other,9-other,other,,,,
4,N.81.29,Other cleaning activities,9-other,9-other,other,,,,
3,N.81.3,Landscape service activities,9-other,9-other,other,,,,
4,N.81.30,Landscape service activities,9-other,9-other,other,,,,
2,N.82,"Office administrative, office support and other business support activities",9-other,9-other,other,,,,
3,N.82.1,Office administrative and support activities,9-other,9-other,other,,,,
4,N.82.11,Combined office administrative service activities,9-other,9-other,other,,,,
4,N.82.19,"Photocopying, document preparation and other specialised office support activities",9-other,9-other,other,,,,
3,N.82.2,Activities of call centres,9-other,9-other,other,,,,
4,N.82.20,Activities of call centres,9-other,9-other,other,,,,
3,N.82.3,Organisation of conventions and trade shows,9-other,9-other,other,,,,
4,N.82.30,Organisation of conventions and trade shows,9-other,9-other,other,,,,
3,N.82.9,Business support service activities n.e.c.,9-other,9-other,other,,,,
4,N.82.91,Activities of collection agencies and credit bureaus,9-other,9-other,other,,,,
4,N.82.92,Packaging activities,9-other,9-other,other,,,,
4,N.82.99,Other business support service activities n.e.c.,9-other,9-other,other,,,,
n.a.,n.n.a.,n.a.,2-utility,2-utility|electricity|storage,electricity|all fuels|storage,,,,
1,O,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,,,n.a.,,,,
2,O.84,Public administration and defence; compulsory social security,9-other,9-other,other,,,,
3,O.84.1,Administration of the State and the economic and social policy of the community,9-other,9-other,other,,,,
4,O.84.11,General public administration activities,9-other,9-other,other,,,,
4,O.84.12,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",9-other,9-other,other,,,,
4,O.84.13,Regulation of and contribution to more efficient operation of businesses,9-other,9-other,other,,,,
3,O.84.2,Provision of services to the community as a whole,9-other,9-other,other,,,,
4,O.84.21,Foreign affairs,9-other,9-other,other,,,,
4,O.84.22,Defence activities,9-other,9-other,other,,,,
4,O.84.23,Justice and judicial activities,9-other,9-other,other,,,,
4,O.84.24,Public order and safety activities,9-other,9-other,other,,,,
4,O.84.25,Fire service activities,9-other,9-other,other,,,,
3,O.84.3,Compulsory social security activities,9-other,9-other,other,,,,
4,O.84.30,Compulsory social security activities,9-other,9-other,other,,,,
1,P,EDUCATION,,,n.a.,,,,
2,P.85,Education,9-other,9-other,other,,,,
3,P.85.1,Pre-primary education,9-other,9-other,other,,,,
4,P.85.10,Pre-primary education,9-other,9-other,other,,,,
3,P.85.2,Primary education,9-other,9-other,other,,,,
4,P.85.20,Primary education,9-other,9-other,other,,,,
3,P.85.3,Secondary education,9-other,9-other,other,,,,
4,P.85.31,General secondary education,9-other,9-other,other,,,,
4,P.85.32,Technical and vocational secondary education,9-other,9-other,other,,,,
3,P.85.4,Higher education,9-other,9-other,other,,,,
4,P.85.41,Post-secondary non-tertiary education,9-other,9-other,other,,,,
4,P.85.42,Tertiary education,9-other,9-other,other,,,,
3,P.85.5,Other education,9-other,9-other,other,,,,
4,P.85.51,Sports and recreation education,9-other,9-other,other,,,,
4,P.85.52,Cultural education,9-other,9-other,other,,,,
4,P.85.53,Driving school activities,9-other,9-other,other,,,,
4,P.85.59,Other education n.e.c.,9-other,9-other,other,,,,
3,P.85.6,Educational support activities,9-other,9-other,other,,,,
4,P.85.60,Educational support activities,9-other,9-other,other,,,,
1,Q,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,,,n.a.,,,,
2,Q.86,Human health activities,9-other,9-other,other,,,,
3,Q.86.1,Hospital activities,9-other,9-other,other,,,,
4,Q.86.10,Hospital activities,9-other,9-other,other,,,,
3,Q.86.2,Medical and dental practice activities,9-other,9-other,other,,,,
4,Q.86.21,General medical practice activities,9-other,9-other,other,,,,
4,Q.86.22,Specialist medical practice activities,9-other,9-other,other,,,,
4,Q.86.23,Dental practice activities,9-other,9-other,other,,,,
3,Q.86.9,Other human health activities,9-other,9-other,other,,,,
4,Q.86.90,Other human health activities,9-other,9-other,other,,,,
2,Q.87,Residential care activities,9-other,9-other,other,,,,
3,Q.87.1,Residential nursing care activities,9-other,9-other,other,,,,
4,Q.87.10,Residential nursing care activities,9-other,9-other,other,,,,
3,Q.87.2,"Residential care activities for mental retardation, mental health and substance abuse",9-other,9-other,other,,,,
4,Q.87.20,"Residential care activities for mental retardation, mental health and substance abuse",9-other,9-other,other,,,,
3,Q.87.3,Residential care activities for the elderly and disabled,9-other,9-other,other,,,,
4,Q.87.30,Residential care activities for the elderly and disabled,9-other,9-other,other,,,,
3,Q.87.9,Other residential care activities,9-other,9-other,other,,,,
4,Q.87.90,Other residential care activities,9-other,9-other,other,,,,
2,Q.88,Social work activities without accommodation,9-other,9-other,other,,,,
3,Q.88.1,Social work activities without accommodation for the elderly and disabled,9-other,9-other,other,,,,
4,Q.88.10,Social work activities without accommodation for the elderly and disabled,9-other,9-other,other,,,,
