Level,NACE,Description,CPRS Main,CPRS2,CPRS Granular,Note on CPRS,IAM,NGFS3,NOTESOnMapping
4,C.33.14,Repair of electrical equipment,9-other,9-other,other,,,,
4,C.33.15,Repair and maintenance of ships and boats,5-transportation,5-transportation|water,transportation|vehicles|water,,Final Energy|Industry,Energy Service|Transportation|Navigation,
4,C.33.16,Repair and maintenance of aircraft and spacecraft,5-transportation,5-transportation|air,transportation|air|vehicles|combustion,,Final Energy|Industry,Energy Service|Transportation|Aviation,
4,C.33.17,Repair and maintenance of other transport equipment,5-transportation,5-transportation|other,transportation|vehicles,,Final Energy|Industry,,
4,C.33.19,Repair of other equipment,9-other,9-other,other,,,,
3,C.33.2,Installation of industrial machinery and equipment,9-other,9-other,other,,,,
4,C.33.20,Installation of industrial machinery and equipment,9-other,9-other,other,,,,
1,D,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",2-utility,2-utility,n.a.,,,,
2,D.35,"Electricity, gas, steam and air conditioning supply",2-utility,2-utility|electricity&gas,n.a.,,Secondary Energy,Secondary Energy,
3,D.35.1,"Electric power generation, transmission and distribution",2-utility,2-utility|electricity,electricity,,Secondary Energy|Electricity,Secondary Energy|Electricity,
4,D.35.11,Production of electricity,2-utility,2-utility|electricity,electricity,,Secondary Energy|Electricity,Secondary Energy|Electricity,
4,D.35.11,Production of electricity,2-utility,2-utility|electricity,electricity|fossil|coal|cogeneration,,,,
4,D.35.11,Production of electricity,2-utility,2-utility|electricity,electricity|fossil|coal|generation,,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal,
4,D.35.11,Production of electricity,2-utility,2-utility|electricity,electricity|fossil|gas|cogeneration,,,,
4,D.35.11,Production of electricity,2-utility,2-utility|electricity,electricity|fossil|gas|generation,,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas,
4,D.35.11,Production of electricity,2-utility,2-utility|electricity,electricity|fossil|oil|generation,,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil,
4,D.35.11,Production of electricity,2-utility,2-utility|electricity,electricity|nuclear|generation,,Secondary Energy|Electricity|Nuclear,Secondary Energy|Electricity|Nuclear,
4,D.35.11,Production of electricity,2-utility,2-utility|electricity,electricity|renewable|biomass|generation,,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass,
4,D.35.11,Production of electricity,2-utility,2-utility|electricity,electricity|renewable|geothermal|generation,,Secondary Energy|Electricity|Geothermal,Secondary Energy|Electricity|Geothermal,
4,D.35.11,Production of electricity,2-utility,2-utility|electricity,electricity|renewable|hydro|generation,,Secondary Energy|Electricity|Hydro,Secondary Energy|Electricity|Hydro,
4,D.35.11,Production of electricity,2-utility,2-utility|electricity,electricity|renewable|ocean|generation,,Secondary Energy|Electricity|Ocean,Secondary Energy|Electricity|Ocean,
4,D.35.11,Production of electricity,2-utility,2-utility|electricity,electricity|renewable|solar concentrated|generation,,Secondary Energy|Electricity|Solar|CSP,Secondary Energy|Electricity|Solar|CSP,
4,D.35.11,Production of electricity,2-utility,2-utility|electricity,electricity|renewable|solar PV|generation,,Secondary Energy|Electricity|Solar|PV,Secondary Energy|Electricity|Solar|PV,
4,D.35.11,Production of electricity,2-utility,2-utility|electricity,electricity|renewable|wind|generation,,Secondary Energy|Electricity|Wind,Secondary Energy|Electricity|Wind,
4,D.35.12,Transmission of electricity,2-utility,2-utility|electricity|transmission,electricity|all fuels|transmission,,Secondary Energy|Electricity,Secondary Energy|Electricity,
4,D.35.13,Distribution of electricity,2-utility,2-utility|electricity|distribution,electricity|all fuels|distribution,,Secondary Energy|Electricity,Secondary Energy|Electricity,
4,D.35.14,Trade of electricity,2-utility,2-utility|electricity|trade,electricity|all fuels|trade,,Trade|Secondary Energy|Electricity,Trade|Secondary Energy|Electricity,
